Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Seed Round - Verifiable,Seed Round,Seed,"Jack Altman, Liquid 2 Ventures, Max Mullen, Rebel Fund, Sahil Lavingia, Soma Capital, Struck Capital, Tiger Global Management, Y Combinator",Verifiable,Seed,"$3,000,000 ",10/20/20,2020,,,"$47,000,000 ",6.38%
Series D - Hyperscience,Series D,Late-stage,"3ig Ventures, Bessemer Venture Partners, Bond, FirstMark, Stripes, Tiger Global Management",Hyperscience,Series D,"$80,000,000 ",10/16/20,2020,Tiger Global Management,,"$288,879,675 ",27.69%
Series A - Nym,Series A,Early-stage,"Bessemer Venture Partners, Dynamic Loop Capital, Google Ventures, Lightspeed Venture Partners, Nat Turner, Samsung NEXT’s Q Fund, Steve Seigel, Tiger Global Management, Zach Weinberg",Nym,Series A,"$16,500,000 ",10/13/20,2020,Google Ventures,,"$94,500,000 ",17.46%
Series B - Tend,Series B,Early-stage,"Good Friends, Google Ventures, Juxtapose, Redpoint, Tiger Global Management, Zigg Capital",Tend,Series B,"$37,000,000 ",10/1/20,2020,Google Ventures,,"$198,000,000 ",18.69%
Seed Round - Virtually,Seed Round,Seed,"Andreas Klinger, Avlok Kohli, Eric Ries, Tiger Global Management",Virtually,Seed,"$1,750,000 ",9/28/20,2020,Tiger Global Management,,"$1,875,000 ",93.33%
Venture Round - Foxhog Ventures Corp.,Venture Round,Late-stage,Tiger Global Management,Foxhog Ventures Corp.,Venture - Series Unknown,"$78,000,000 ",9/26/20,2020,Tiger Global Management,,"$175,000,000 ",44.57%
Series E - Neuehealth,Series E,Venture-Growth,"Bessemer Venture Partners, Blackstone Group, Greenspring Associates, Headline, New Enterprise Associates, T. Rowe Price, Tiger Global Management",Neuehealth,Series E,"$500,000,000 ",9/22/20,2020,New Enterprise Associates,,"$2,660,000,000 ",18.80%
Series A - Air,Series A,Early-stage,"Advancit Capital, Brian Lee, David Lieb, Jack Altman, Jennifer Fleiss, Joe Thomas, Kevin Weil, Lerer Hippeau, Nicolas Jammet, Oldslip, Red Sea Ventures, Slack Fund, Tiger Global Management, WndrCo",Air,Series A,"$12,000,000 ",9/16/20,2020,Tiger Global Management,,"$28,000,000 ",42.86%
Series D - Dataiku,Series D,Late-stage,"Battery Ventures, CapitalG, Dawn Capital, FirstMark, ICONIQ Capital, ICONIQ Growth, Stripes, Tiger Global Management",Dataiku,Series D,"$100,000,000 ",8/24/20,2020,Stripes,,"$846,835,229 ",11.81%
Series C - Drizly,Series C,Late-stage,"Avenir, FJ Labs, Tiger Global Management",Drizly,Series C,"$50,000,000 ",8/20/20,2020,Avenir,,"$119,560,722 ",41.82%
Series E - Missfresh,Series E,Venture-Growth,"Abu Dhabi Capital Group, CICC, Goldman Sachs, ICBC International, Suzhou Changshu Government Industry Fund, Tencent, Tiger Global Management",Missfresh,Series E,"$495,000,000 ",7/23/20,2020,CICC,,"$1,719,258,606 ",28.79%
Series B - Cowboy,Series B,Early-stage,"Exor Ventures, Future Positive Capital, HCVC, Index Ventures, Isomer Capital, Kuvi Capital, Tiger Global Management",Cowboy,Series B,"$26,669,635 ",7/23/20,2020,"Exor Ventures, HCVC",,"$155,316,373 ",17.17%
Seed Round - Crosschq,Seed Round,Seed,"Bessemer Venture Partners, Rocketship.vc, SAP.iO, Slack, Tiger Global Management",Crosschq,Seed,"$6,500,000 ",7/21/20,2020,"Rocketship.vc, Tiger Global Management",,"$40,600,000 ",16.01%
Series B - PAYFAZZ,Series B,Early-stage,"B Capital, BRI Ventures, Insignia Ventures Partners, Quiet Capital, Tiger Global Management, Y Combinator",PAYFAZZ,Series B,"$53,000,000 ",7/6/20,2020,"B Capital, Insignia Ventures Partners",,"$74,120,000 ",71.51%
Series B - Fazz,Series B,Early-stage,"B Capital, BRI Ventures, DST Global, Insignia Ventures Partners, Liquid 2 Ventures, Quiet Capital, Tiger Global Management, Y Combinator",Fazz,Series B,"$53,000,000 ",7/5/20,2020,"B Capital, Insignia Ventures Partners",,"$179,425,000 ",29.54%
Series B - Squire,Series B,Early-stage,"645 Ventures, Charles Phillips, CRV, CV Catalyst Fund, San Francisco 49ers, Tiger Global Management, Trinity Ventures, Y Combinator",Squire,Series B,"$27,000,000 ",6/9/20,2020,CRV,,"$167,070,000 ",16.16%
Series C - Hyperscience,Series C,Late-stage,"Battery Ventures, Bessemer Venture Partners, Felicis, FirstMark, Gaingels, Penna & Company, Sand Hill Angels, Stripes, Third Kind Venture Capital, Tiger Global Management, West Quad Ventures",Hyperscience,Series C,"$60,000,000 ",6/4/20,2020,Bessemer Venture Partners,,"$288,879,675 ",20.77%
Series A - Workvivo,Series A,Early-stage,"Enterprise Ireland, Frontline Ventures, Tiger Global Management",Workvivo,Series A,"$16,000,000 ",5/14/20,2020,Tiger Global Management,,"$38,494,180 ",41.56%
Series B - FortressIQ,Series B,Early-stage,"boldstart ventures, Comcast Ventures, Eniac Ventures, Lightspeed Venture Partners, M12 - Microsoft's Venture Fund, Tiger Global Management",FortressIQ,Series B,"$30,000,000 ",5/13/20,2020,"M12 - Microsoft's Venture Fund, Tiger Global Management",,"$46,000,000 ",65.22%
Series D - Cockroach Labs,Series D,Late-stage,"Altimeter Capital, Benchmark, Bond, Counterpart Advisors, FirstMark, Google Ventures, Index Ventures, Redpoint, Sequoia Capital, Tiger Global Management",Cockroach Labs,Series D,"$86,600,000 ",5/5/20,2020,"Altimeter Capital, Bond",,"$633,100,000 ",13.68%
Series A - Frubana,Series A,Early-stage,"Citius, FJ Labs, monashees, Notable Capital, SoftBank, Tiger Global Management",Frubana,Series A,"$25,000,000 ",4/25/20,2020,"monashees, Notable Capital",,"$271,099,653 ",9.22%
Series B - Greenbits,Series B,Early-stage,"Casa Verde Capital, DNS Capital, Scott Belsky, Tiger Global Management",Greenbits,Series B,"$23,000,000 ",4/16/20,2020,"Casa Verde Capital, Tiger Global Management",,"$41,000,000 ",56.10%
Venture Round - Vault Health,Venture Round,Late-stage,"Avenir, Declaration Partners, Dolik Ventures, Tiger Global Management",Vault Health,Venture - Series Unknown,"$30,000,000 ",3/12/20,2020,Tiger Global Management,,"$30,000,000 ",100.00%
Seed Round - Weavr,Seed Round,Seed,"Alan Morgan, Anthemis, Craig Dewar, Force Over Mass Capital, Headline, Latitude, Mubadala Capital Ventures, QED Investors, Seedcamp, Systema, Tiger Global Management, UFP Fintech",Weavr,Seed,"$644,052 ",2/20/20,2020,Tiger Global Management,,"$54,372,652 ",1.18%
Series C - Vedantu,Series C,Late-stage,"Accel, Notable Capital, Tiger Global Management, WestBridge Capital",Vedantu,Series C,"$24,000,000 ",2/13/20,2020,Notable Capital,,"$295,185,958 ",8.13%
Series B - Chaayos,Series B,Early-stage,"Integrated Capital, Neeraj Arora, SAIF Partners, Think Investments, Tiger Global Management",Chaayos,Series B,"$18,500,000 ",2/11/20,2020,Think Investments,,"$85,537,376 ",21.63%
Series A - InterviewBit,Series A,Early-stage,"Global Founders Capital, Peak XV Partners, Tiger Global Management",InterviewBit,Series A,"$20,000,000 ",1/28/20,2020,"Peak XV Partners, Tiger Global Management",,"$66,500,000 ",30.08%
Series B - Life House,Series B,Early-stage,"Ashton Kutcher, Comcast Ventures, David Hamamoto, Global Founders Capital, Jim Ketai, JLL Spark, Sound Ventures, Thayer Ventures, Tiger Global Management, Trinity Ventures",Life House,Series B,"$30,000,000 ",1/24/20,2020,Thayer Ventures,,"$100,400,000 ",29.88%
Series C - BigID,Series C,Late-stage,Tiger Global Management,BigID,Series C,"$50,000,000 ",1/6/20,2020,Tiger Global Management,,"$306,099,999 ",16.33%
Series A - Telio.vn,Series A,Early-stage,"GGV Capital, Peak XV Partners, RTP Global, Tiger Global Management",Telio.vn,Series A,"$25,000,000 ",12/19/19,2019,Tiger Global Management,,"$64,011,159 ",39.06%
Series D - Baibu,Series D,Late-stage,"Bull Capital, Chengwei Capital, China Capital Investment Group, DST Global, Source Code Capital, Tiger Global Management, Yunqi Partners",Baibu,Series D,"$300,000,000 ",12/17/19,2019,DST Global,,"$566,369,701 ",52.97%
Series B - KredX,Series B,Early-stage,"Peak XV Partners, Prime Venture Partners, Tiger Global Management",KredX,Series B,"$26,000,000 ",12/11/19,2019,Tiger Global Management,,"$32,737,240 ",79.42%
Series E - Kustomer,Series E,Venture-Growth,"Battery Ventures, Coatue, Tiger Global Management",Kustomer,Series E,"$60,000,000 ",12/4/19,2019,Coatue,,"$233,500,000 ",25.70%
Series A - Infra.Market,Series A,Early-stage,"Accel, Nexus Venture Partners, Tiger Global Management",Infra.Market,Series A,"$20,000,000 ",12/2/19,2019,"Nexus Venture Partners, Tiger Global Management",,"$726,633,355 ",2.75%
Pre Seed Round - Habi,Pre Seed Round,Seed,"Edward Lando, Eric Reiner, FJ Labs, Flybridge, HOF Capital, Homebrew, Reshape, Supernode Ventures, The Graduate Syndicate, Tiger Global Management, Zigg Capital",Habi,Pre-Seed,"$5,500,000 ",11/15/19,2019,"Homebrew, Tiger Global Management, Zigg Capital",,"$597,800,000 ",0.92%
Seed Round - CTO.ai,Seed Round,Seed,"Jonathan Bixby, N49P, Pallasite Ventures, Panache Ventures, Slack Fund, Tiger Global Management, Yaletown Partners",CTO.ai,Seed,"$7,500,000 ",11/4/19,2019,"Slack Fund, Tiger Global Management",,"$7,500,000 ",100.00%
Series B - Ally.io (Acquired),Series B,Early-stage,"Accel, Founders' Co-op, Lee Fixel, Tiger Global Management, Vulcan Capital",Ally.io (Acquired),Series B,"$15,000,000 ",10/24/19,2019,Tiger Global Management,,"$73,000,000 ",20.55%
Series C - EKuaibao,Series C,Late-stage,"DCM Ventures, FutureCap, HongShan, Tiger Global Management",EKuaibao,Series C,"$50,000,000 ",10/22/19,2019,"HongShan, Tiger Global Management",,"$225,599,514 ",22.16%
Series E - Taimei Technology,Series E,Venture-Growth,"5Y Capital, Cowin Venture, Ivy Capital, SAIF Partners, SBCVC, Tencent, Tiger Global Management, ZSVC",Taimei Technology,Series E,"$211,813,548 ",10/18/19,2019,"Tencent, Tiger Global Management",,"$530,277,791 ",39.94%
Series B - MyGate,Series B,Early-stage,"JSCapital, Prime Venture Partners, Tencent, Tiger Global Management",MyGate,Series B,"$56,000,000 ",10/17/19,2019,,,"$79,512,841 ",70.43%
Series A - UrbanPiper,Series A,Early-stage,"Peak XV Partners, Tiger Global Management",UrbanPiper,Series A,"$9,528,574 ",10/16/19,2019,"Peak XV Partners, Tiger Global Management",,"$39,180,783 ",24.32%
Series C - Lattice,Series C,Late-stage,Tiger Global Management,Lattice,Series C,"$25,000,000 ",10/11/19,2019,Tiger Global Management,,"$330,320,000 ",7.57%
Series A - Fyle,Series A,Early-stage,"Freshworks, Pravega Ventures, Steadview Capital, Tiger Global Management",Fyle,Series A,"$4,500,000 ",10/3/19,2019,Steadview Capital,,"$10,361,312 ",43.43%
Series A - Ever/Body,Series A,Early-stage,"ACME Capital, Dave Gilboa, Declaration Partners, Jeffrey Raider, Jennifer Fleiss, Neil Blumenthal, Reshape, Tiger Global Management",Ever/Body,Series A,"$17,000,000 ",9/30/19,2019,"ACME Capital, Tiger Global Management",,"$110,500,000 ",15.38%
Series C - Embark Trucks,Series C,Late-stage,"DCVC, Maven Ventures, Mubadala Capital Ventures, OMERS Ventures, Sequoia Capital, SV Angel, Tiger Global Management, Y Combinator",Embark Trucks,Series C,"$70,000,000 ",9/25/19,2019,Tiger Global Management,,"$317,125,000 ",22.07%
Series B - Upstox,Series B,Early-stage,Tiger Global Management,Upstox,Series B,"$25,000,000 ",9/20/19,2019,Tiger Global Management,,"$143,253,180 ",17.45%
Series B - Wow! Momo,Series B,Early-stage,Tiger Global Management,Wow! Momo,Series B,"$23,000,000 ",9/18/19,2019,Tiger Global Management,,"$140,764,910 ",16.34%
Series D - NestAway,Series D,Late-stage,"Brand Capital, Chiratae Ventures, Goldman Sachs, GS Growth, Tiger Global Management",NestAway,Series D,"$4,868,909 ",9/17/19,2019,Goldman Sachs,,"$109,068,909 ",4.46%
Series B - Ignition,Series B,Early-stage,"Craig Winkler, Right Click Capital, Tiger Global Management",Ignition,Series B,"$17,880,476 ",9/14/19,2019,Tiger Global Management,,"$89,397,726 ",20.00%
Series B - OkCredit,Series B,Early-stage,"Lightspeed India Partners, Tiger Global Management",OkCredit,Series B,"$67,000,000 ",9/13/19,2019,"Lightspeed India Partners, Tiger Global Management",,"$84,200,000 ",79.57%
Venture Round - NoBroker,Venture Round,Late-stage,"General Atlantic, Rocketship.vc, Tiger Global Management",NoBroker,Venture - Series Unknown,"$51,000,000 ",9/11/19,2019,Tiger Global Management,,"$430,864,899 ",11.84%
Secondary Market - Flipkart,Secondary Market,Venture-Growth,Tiger Global Management,Flipkart,Secondary Market,"$14,500,000 ",9/4/19,2019,,,"$15,261,884,737 ",0.10%
Series C - Vedantu,Series C,Late-stage,"Accel, Omidyar Network, Prince Maximilian, TAL Education Group, Tiger Global Management, WestBridge Capital",Vedantu,Series C,"$42,000,000 ",8/29/19,2019,"Tiger Global Management, WestBridge Capital",,"$295,185,958 ",14.23%
Venture Round - INDmoney,Venture Round,Late-stage,Tiger Global Management,INDmoney,Venture - Series Unknown,"$15,000,000 ",8/22/19,2019,Tiger Global Management,,"$153,891,230 ",9.75%
Series F - blinkit,Series F,Venture-Growth,"KTB Ventures, Peak XV Partners, SoftBank Vision Fund, Tiger Global Management",blinkit,Series F,"$70,000,000 ",8/19/19,2019,SoftBank Vision Fund,,"$1,049,098,135 ",6.67%
Series C - Cockroach Labs,Series C,Late-stage,"Altimeter Capital, Benchmark, FirstMark, Google Ventures, Index Ventures, Redpoint, Tiger Global Management, Work-Bench",Cockroach Labs,Series C,"$55,000,000 ",8/6/19,2019,"Altimeter Capital, Google Ventures, Tiger Global Management",,"$633,100,000 ",8.69%
Series F - blinkit,Series F,Venture-Growth,"Abu Dhabi Capital Group, DAOL Investment & Securities, KTB Network, Peak XV Partners, SoftBank, Tiger Global Management",blinkit,Series F,"$10,000,000 ",7/15/19,2019,Abu Dhabi Capital Group,,"$1,049,098,135 ",0.95%
Series A - Glitch,Series A,Early-stage,Tiger Global Management,Glitch,Series A,"$30,000,000 ",7/9/19,2019,Tiger Global Management,,"$30,000,000 ",100.00%
Series A - DotLab,Series A,Early-stage,"CooperSurgical, Luxor Capital Group, Tiger Global Management, Wilson Sonsini Goodrich & Rosati",DotLab,Series A,"$10,000,000 ",7/1/19,2019,CooperSurgical,,"$12,650,000 ",79.05%
Series C - Restaurant365,Series C,Late-stage,"Bessemer Venture Partners, ICONIQ Growth, Tiger Global Management",Restaurant365,Series C,"$88,000,000 ",6/27/19,2019,ICONIQ Growth,,"$437,500,000 ",20.11%
Venture Round - Kerala Startup Mission,Venture Round,Late-stage,"BEENEXT, Speedinvest, Tiger Global Management",Kerala Startup Mission,Venture - Series Unknown,"$36,103,429 ",6/26/19,2019,,,"$36,103,429 ",100.00%
Series C - Ninjacart,Series C,Late-stage,"ABG Capital, Clark Valberg, Steadview Capital, Tanglin Venture Partners, Tiger Global Management, Trifecta Capital Advisors",Ninjacart,Series C,"$10,000,000 ",6/21/19,2019,,,"$357,624,581 ",2.80%
Series A - OkCredit,Series A,Early-stage,"5Y Capital, Lightspeed India Partners, Tiger Global Management, Venture Highway, Y Combinator",OkCredit,Series A,"$15,500,000 ",6/10/19,2019,Tiger Global Management,,"$84,200,000 ",18.41%
Series A - Litify,Series A,Early-stage,Tiger Global Management,Litify,Series A,"$50,000,000 ",6/6/19,2019,Tiger Global Management,,"$78,563,208 ",63.64%
Series B - Open Financial Technologies,Series B,Early-stage,"3one4 Capital, AngelList, Speedinvest, Tanglin Venture Partners, Tiger Global Management",Open Financial Technologies,Series B,"$30,000,000 ",6/1/19,2019,,,"$190,808,551 ",15.72%
Series D - Kustomer,Series D,Late-stage,"Battery Ventures, Tiger Global Management",Kustomer,Series D,"$40,000,000 ",5/29/19,2019,Tiger Global Management,,"$233,500,000 ",17.13%
Series B - Karat,Series B,Early-stage,"8VC, Clark Valberg, Dig Ventures, Norwest Venture Partners, Notable Capital, Tiger Global Management",Karat,Series B,"$28,000,000 ",5/15/19,2019,Tiger Global Management,,"$169,100,000 ",16.56%
Series D - NestAway,Series D,Late-stage,"Chiratae Ventures, Tiger Global Management",NestAway,Series D,"$10,000,000 ",5/13/19,2019,Tiger Global Management,,"$109,068,909 ",9.17%
Series B - Locus.sh,Series B,Early-stage,"Alpha Wave Global, Blume Ventures, Exfinity Venture Partners, Tiger Global Management",Locus.sh,Series B,"$22,000,000 ",5/9/19,2019,"Alpha Wave Global, Tiger Global Management",,"$78,750,000 ",27.94%
Series B - Flexe,Series B,Early-stage,"Acequia Capital (AceCap), Activate Capital Partners, Madrona, Prologis Ventures, Redpoint, Tiger Global Management",Flexe,Series B,"$43,000,000 ",5/7/19,2019,"Activate Capital Partners, Tiger Global Management",,"$263,000,000 ",16.35%
Series C - Zenoti,Series C,Late-stage,"Accel, Norwest Venture Partners, Tiger Global Management",Zenoti,Series C,"$50,000,000 ",5/1/19,2019,Tiger Global Management,,"$331,000,000 ",15.11%
Series A - Innovapptive,Series A,Early-stage,Tiger Global Management,Innovapptive,Series A,"$16,300,000 ",4/17/19,2019,Tiger Global Management,,"$42,010,877 ",38.80%
Series B - Fleetsmith,Series B,Early-stage,"Clark Valberg, Harrison Metal, Menlo Ventures, Tiger Global Management, Upfront Ventures",Fleetsmith,Series B,"$30,000,000 ",4/8/19,2019,Menlo Ventures,,"$40,800,000 ",73.53%
Series C - Fadada.com,Series C,Late-stage,"Ares Management, Tencent, Tiger Global Management, Vision Plus Capital",Fadada.com,Series C,"$57,957,627 ",3/6/19,2019,"Tencent, Tiger Global Management",,"$224,401,314 ",25.83%
Series C - flaschenpost,Series C,Late-stage,"3L Capital, Tiger Global Management",flaschenpost,Series C,"$56,682,659 ",3/4/19,2019,Tiger Global Management,,"$80,899,457 ",70.07%
Series A - Ola Electric,Series A,Early-stage,"Tiger Global Management, Z47",Ola Electric,Series A,"$56,338,822 ",3/1/19,2019,"Tiger Global Management, Z47",,"$1,747,513,803 ",3.22%
Series A - Rightway,Series A,Early-stage,"Jaws Ventures, Tiger Global Management, Vine Ventures",Rightway,Series A,"$8,000,000 ",2/28/19,2019,Tiger Global Management,,"$238,749,915 ",3.35%
Series C - Panda Selected,Series C,Late-stage,"DCM Ventures, Tiger Global Management",Panda Selected,Series C,"$50,000,000 ",2/21/19,2019,Tiger Global Management,,"$70,000,000 ",71.43%
Series A - Fyle,Series A,Early-stage,"BEENEXT, Pravega Ventures, Tiger Global Management",Fyle,Series A,"$4,211,413 ",2/11/19,2019,Tiger Global Management,,"$10,361,312 ",40.65%
Series E - Taimei Technology,Series E,Venture-Growth,"Cowin Venture, SBCVC, Tiger Global Management",Taimei Technology,Series E,"$80,000,000 ",1/28/19,2019,Tiger Global Management,,"$530,277,791 ",15.09%
Series C - GaiaWorks,Series C,Late-stage,"Matrix Partners China, Tiger Global Management, Warburg Pincus",GaiaWorks,Series C,"$44,372,134 ",1/15/19,2019,Tiger Global Management,,"$147,181,163 ",30.15%
Secondary Market - Olo,Secondary Market,Venture-Growth,Tiger Global Management,Olo,Secondary Market,"$18,000,000 ",1/9/19,2019,Tiger Global Management,,"$184,536,015 ",9.75%
Series D - Yaoshibang,Series D,Late-stage,"DCM Ventures, H. Capital, Tiger Global Management",Yaoshibang,Series D,"$133,000,000 ",12/17/18,2018,Tiger Global Management,,"$495,592,477 ",26.84%
Series C - Guideline,Series C,Late-stage,"Felicis, Propel, Tiger Global Management",Guideline,Series C,"$35,000,000 ",12/12/18,2018,Tiger Global Management,,"$339,000,000 ",10.32%
Series C - Roposo,Series C,Late-stage,"Bertelsmann India Investments, Tiger Global Management",Roposo,Series C,"$10,000,000 ",12/11/18,2018,Tiger Global Management,,"$32,697,880 ",30.58%
Series C - Drizly,Series C,Late-stage,"Polaris Partners, Tiger Global Management",Drizly,Series C,"$34,560,722 ",12/10/18,2018,Tiger Global Management,,"$119,560,722 ",28.91%
Series A - Facilio,Series A,Early-stage,"Accel, Tiger Global Management",Facilio,Series A,"$6,400,000 ",12/5/18,2018,Tiger Global Management,,"$45,400,000 ",14.10%
Series C - Baibu,Series C,Late-stage,"Bull Capital, Chengwei Capital, Source Code Capital, Tiger Global Management, Yunqi Partners",Baibu,Series C,"$100,000,000 ",11/22/18,2018,Tiger Global Management,,"$566,369,701 ",17.66%
Series A - PAYFAZZ,Series A,Early-stage,"Convergence Ventures, Insignia Ventures Partners, MDI Ventures, Tiger Global Management, Vertex Ventures, Y Combinator",PAYFAZZ,Series A,"$21,000,000 ",11/21/18,2018,Tiger Global Management,,"$74,120,000 ",28.33%
Series A - ItsaCheckmate,Series A,Early-stage,"Continental Grain Company, Tiger Global Management",ItsaCheckmate,Series A,"$3,000,000 ",11/12/18,2018,Tiger Global Management,,"$3,000,000 ",100.00%
Venture Round - Metrc,Venture Round,Late-stage,"Casa Verde Capital, Tiger Global Management",Metrc,Venture - Series Unknown,"$50,000,000 ",10/25/18,2018,"Casa Verde Capital, Tiger Global Management",,"$50,000,000 ",100.00%
Series A - Cowboy,Series A,Early-stage,"Bertrand Jelensperger, Francis Nappez, Fred Potter, Greyhound Capital, Harold Mechelynck, HCVC, Index Ventures, Oscar Salazar, Thibaud Elziere, Tiger Global Management",Cowboy,Series A,"$11,470,797 ",10/23/18,2018,Tiger Global Management,,"$155,316,373 ",7.39%
Venture Round - PAX Labs,Venture Round,Late-stage,"Arjun Sethi, Bracket Capital, Evolution VC Partners, Fidelity, Sand Hill Angels, Tao Capital Partners, Tiger Global Management",PAX Labs,Venture - Series Unknown,"$25,500,000 ",10/22/18,2018,,,"$492,200,000 ",5.18%
Series C - HEAVY.AI,Series C,Late-stage,"In-Q-Tel, New Enterprise Associates, Tiger Global Management, Vanedge Capital, Verizon Ventures",HEAVY.AI,Series C,"$55,000,000 ",10/3/18,2018,Tiger Global Management,,"$92,100,000 ",59.72%
Series A - Fazz,Series A,Early-stage,"AC Ventures, Brad Flora, DST Global, Gustaf Alstromer, Immad Akhund, Insignia Ventures Partners, Liquid 2 Ventures, MAGIC Fund, MDI Ventures, Michael Seibel, Paul Buchheit, Quiet Capital, Tiger Global Management, Vertex Ventures, Y Combinator",Fazz,Series A,"$21,000,000 ",10/1/18,2018,"DST Global, Tiger Global Management",,"$179,425,000 ",11.70%
Series C - Udesk,Series C,Late-stage,"DCM Ventures, Legend Capital, Tiger Global Management",Udesk,Series C,"$43,674,480 ",9/28/18,2018,Tiger Global Management,,"$66,478,314 ",65.70%
Series D - Missfresh,Series D,Late-stage,"China Renaissance, Davis Advisors, Glade Brook Capital Partners, Goldman Sachs, Jeneration Capital, Poly Capital, Sofina, Tencent, Tiger Global Management",Missfresh,Series D,"$450,000,000 ",9/6/18,2018,"Glade Brook Capital Partners, Goldman Sachs, Tencent",,"$1,719,258,606 ",26.17%
Series C - BestSign,Series C,Late-stage,"5Y Capital, DCM Ventures, Matrix Partners China, Tiger Global Management",BestSign,Series C,"$52,414,278 ",8/31/18,2018,Tiger Global Management,,"$78,614,842 ",66.67%
Series C - Zhenkunxing,Series C,Late-stage,"Genesis Capital, Legend Capital, Matrix Partners China, Oriza Seed Capital (Oriza Yuandian), Shell, Tiger Global Management, Zhongdingli Long Touzi",Zhenkunxing,Series C,"$129,000,000 ",8/28/18,2018,"Legend Capital, Tiger Global Management",,"$999,302,008 ",12.91%
Private Equity Round - SoftBank,Private Equity Round,Venture-Growth,"Ilya Sutskever, Microsoft, Samsung Electronics, Tiger Global Management",SoftBank,Private Equity,"$1,000,000,000 ",7/12/18,2018,"Ilya Sutskever, Microsoft, Samsung Electronics",,"$1,865,943,315 ",53.59%
Series B - Plus Products,Series B,Early-stage,Tiger Global Management,Plus Products,Series B,"$10,000,000 ",6/30/18,2018,Tiger Global Management,,"$39,858,689 ",25.09%
Series B - Danke Apartment,Series B,Early-stage,"BAI capital, CMC Capital Group, Gaorong Capital, Joy Capital, Regent Capital, Tiger Global Management, Vision Plus Capital",Danke Apartment,Series B,"$70,000,000 ",6/6/18,2018,Tiger Global Management,,"$874,733,503 ",8.00%
Series A - Greenbits,Series A,Early-stage,"Casa Verde Capital, Tiger Global Management",Greenbits,Series A,"$15,000,000 ",4/19/18,2018,Tiger Global Management,,"$41,000,000 ",36.59%
Series A - Cogoport,Series A,Early-stage,"Accel, DST Global, Tiger Global Management",Cogoport,Series A,"$6,089,911 ",4/17/18,2018,Accel,,"$143,610,203 ",4.24%
Series D - ContaAzul,Series D,Late-stage,"Bossanova Investimentos, Endeavor Catalyst, Tiger Global Management",ContaAzul,Series D,"$30,000,000 ",4/3/18,2018,Tiger Global Management,,"$36,983,721 ",81.12%
Series C - Chargebee,Series C,Late-stage,"Accel, Insight Partners, Tiger Global Management",Chargebee,Series C,"$18,000,000 ",3/20/18,2018,Insight Partners,,"$468,170,000 ",3.84%
Series B - Razorpay,Series B,Early-stage,"Tiger Global Management, Y Combinator, Z47",Razorpay,Series B,"$20,000,000 ",1/15/18,2018,Tiger Global Management,,"$816,309,769 ",2.45%
Series C - DaDa,Series C,Late-stage,"TAL Education Group, Tiger Global Management",DaDa,Series C,"$100,000,000 ",1/9/18,2018,"TAL Education Group, Tiger Global Management",,"$863,867,280 ",11.58%
Series E - Wealthfront,Series E,Venture-Growth,"Benchmark, DAG Ventures, Greylock, Index Ventures, Ribbit Capital, Social Capital, Spark Capital, Tiger Global Management",Wealthfront,Series E,"$75,000,000 ",1/4/18,2018,Tiger Global Management,,"$274,200,000 ",27.35%
